Code,Title,Industry,Vertical,Canton,Spin-offs,City,Year,Highlights,Gender CEO,OOB,Funded,Comment
CHE-384.775.108,Noury AG,,,Bern,,,2021.0,,,0.0,0.0,
CHE-241.785.173,Encelta AG,biotech,,Basel-Stadt,ETH,Basel,2023.0,,Male,0.0,0.0,
CHE-236.101.881,PowerMeals SA,,,Genève,,Geneva,2020.0,,,0.0,0.0,
CHE-321.402.601,Scrimber CSC AG,cleantech,,Bern,,Thun,2022.0,,Male,0.0,0.0,
CHE-316.574.745,Soobr AG,ICT,,Bern,,,2020.0,,Male,0.0,1.0,
CHE-317.889.051,Besso AG,,,Bern,,,2023.0,,,0.0,0.0,
CHE-420.546.505,"Eatomics, Luca Hagenmayer",,,St. Gallen,,,2025.0,,,0.0,0.0,
CHE-135.837.565,NanThermix SA,,,Vaud,,,2023.0,,,0.0,0.0,
CHE-471.982.905,SurroundPower GmbH,,,St. Gallen,,,2024.0,,,0.0,0.0,
CHE-453.157.180,Screver AG,,,Schwyz,,,2022.0,,,0.0,0.0,
CHE-448.096.590,Yainvest AG,,,Zug,,,2023.0,,,0.0,0.0,
CHE-207.534.404,Xelidoni SA,,,Vaud,,,2023.0,,,0.0,0.0,
CHE-365.410.126,Ionic Wind AG,,,St. Gallen,,,2025.0,,,0.0,0.0,
CHE-423.563.121,RoBoa AG,,,Zürich,,,2025.0,,,0.0,0.0,
CHE-494.252.781,Rapyuta Robotics AG,micro / nano,,ZH,ETH,,2014.0,,Male,0.0,1.0,
CHE-430.525.315,Rüedu AG,consumer products,,Bern,,Bern,2020.0,,Female,0.0,0.0,
CHE-330.521.541,Altiscreen Sàrl,,,Jura,,,2024.0,,,0.0,0.0,
CHE-174.233.767,Paymira AG,ICT,,St. Gallen,,Rapperswil,2024.0,,Male,0.0,0.0,
CHE-341.726.171,QIO Quantitative Investment Office AG,,,Zürich,,,2020.0,,,0.0,0.0,
CHE-133.603.447,Bioscibex SA,,,Valais / Wallis,EPFL,,2024.0,,,0.0,0.0,
CHE-202.708.921,ViaSlim AG,healthcare IT,,Zürich,,Zürich,2024.0,,Male,0.0,0.0,
CHE-499.622.514,Dootix SA,ICT,,FR,,Bulle,2012.0,,Male,0.0,0.0,
CHE-424.536.351,DATAPROTECT AG,,,Zürich,,,2023.0,,,0.0,0.0,
CHE-348.910.132,Amarastesia Sàrl,,,Jura,,Courroux,2024.0,,Female,0.0,0.0,
CHE-337.564.095,Demiurge Technologies AG,ICT,,Zug,,,2015.0,,Female,0.0,1.0,
CHE-436.635.178,DNAir AG,,,Zürich,,,2025.0,,,0.0,0.0,
CHE-143.236.712,Vestir Technologies GmbH,,,Zug,,,2023.0,,,0.0,0.0,
CHE-211.758.467,Ivy Solutions SA,,,Genève,,,2020.0,,,0.0,0.0,
CHE-273.853.034,ProLean GmbH,,,LU,,,2021.0,,,0.0,0.0,
CHE-398.948.585,Herlock Insights AG,ICT,,Zürich,,,2021.0,,Female,0.0,1.0,
CHE-476.870.277,Legal Technology Switzerland AG (Proxeus),ICT (fintech),,Zug,,,2016.0,Top 100 Swiss Startup Award 2018,,1.0,0.0,
CHE-321.358.325,Novexus,,,Basel-Stadt,,,2017.0,,,0.0,0.0,
CHE-228.038.594,surp.ch GmbH,,,St. Gallen,HSG,,2015.0,,,0.0,0.0,
CHE-162.467.962,Cellsmaniak SA (VEETAMINE),,,Valais / Wallis,,,2020.0,,,0.0,0.0,
CHE-134.747.741,precisionED,healthcare IT,,SZ,,,2020.0,,Male,0.0,1.0,
